,Entry_Date,BANKNIFTY,Days To Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_price,CE_Exit_Time,PE_Symbol,PE_Entry_Price,PE_Exit_price,PE_Exit_Time,PnL
59,2022-03-30,36380.4492,2,BANKNIFTY31MAR2236500CE,149.9,199.0,10:24:00,BANKNIFTY31MAR2235700PE,141.75,46.15,15:15:00,1162.5000000000002
60,2022-03-31,36367.6484,1,BANKNIFTY31MAR2236600CE,90.2,124.3,09:46:00,BANKNIFTY31MAR2236200PE,93.2,125.0,09:27:00,-1647.4999999999998
61,2022-04-01,37162.0,7,BANKNIFTY07APR2237000CE,203.8,269.95,09:49:00,BANKNIFTY07APR2235700PE,262.4,84.65,15:15:00,2789.9999999999995
62,2022-04-04,38650.0,4,BANKNIFTY07APR2238300CE,167.05,219.85,09:24:00,BANKNIFTY07APR2237200PE,224.05,55.05,15:15:00,2905.0000000000005
63,2022-04-05,38150.0,3,BANKNIFTY07APR2239100CE,137.7,38.25,15:15:00,BANKNIFTY07APR2238200PE,200.0,265.25,09:19:00,854.9999999999995
64,2022-04-06,37726.0,2,BANKNIFTY07APR2238100CE,116.0,152.65,09:20:00,BANKNIFTY07APR2237400PE,168.5,119.15,15:15:00,317.49999999999966
65,2022-04-07,37722.1484,1,BANKNIFTY07APR2237700CE,53.85,75.65,09:40:00,BANKNIFTY07APR2237300PE,95.6,0.6,15:15:00,1830.0
66,2022-04-08,37989.75,6,BANKNIFTY13APR2238500CE,191.0,158.8,15:15:00,BANKNIFTY13APR2237200PE,270.75,158.3,15:15:00,3616.249999999999
67,2022-04-11,37759.8008,3,BANKNIFTY13APR2238200CE,146.0,192.5,09:53:00,BANKNIFTY13APR2237200PE,192.0,134.1,15:15:00,285.0000000000002
68,2022-04-12,37870.0,2,BANKNIFTY13APR2237900CE,99.0,131.4,14:11:00,BANKNIFTY13APR2237200PE,168.45,41.05,15:15:00,2375.0
69,2022-04-13,37546.25,1,BANKNIFTY13APR2238200CE,45.95,0.2,15:15:00,BANKNIFTY13APR2237800PE,80.1,110.05,10:01:00,394.9999999999999
70,2022-04-18,37010.8008,4,BANKNIFTY21APR2237500CE,178.1,123.5,15:15:00,BANKNIFTY21APR2236400PE,223.6,306.1,12:54:00,-697.5000000000011
71,2022-04-19,36447.5,3,BANKNIFTY21APR2237400CE,130.0,35.4,15:15:00,BANKNIFTY21APR2236600PE,152.95,202.15,09:21:00,1134.9999999999995
72,2022-04-20,36419.5508,2,BANKNIFTY21APR2236700CE,113.0,157.0,12:39:00,BANKNIFTY21APR2236000PE,123.05,61.8,15:15:00,431.25
73,2022-04-21,36919.8008,1,BANKNIFTY21APR2236800CE,47.75,10.2,15:15:00,BANKNIFTY21APR2236400PE,79.8,107.45,10:24:00,247.49999999999977
74,2022-04-22,36085.0,7,BANKNIFTY28APR2237000CE,190.0,104.1,15:15:00,BANKNIFTY28APR2236000PE,212.65,280.0,14:01:00,463.7500000000002
75,2022-04-25,36067.3984,4,BANKNIFTY28APR2236200CE,191.5,259.45,09:23:00,BANKNIFTY28APR2235100PE,225.8,120.85,15:15:00,925.0000000000007
76,2022-04-26,36498.5,3,BANKNIFTY28APR2236900CE,149.35,112.4,15:15:00,BANKNIFTY28APR2236100PE,165.25,223.0,13:00:00,-520.0000000000002
77,2022-04-27,36089.25,2,BANKNIFTY28APR2236500CE,120.0,58.15,15:15:00,BANKNIFTY28APR2235800PE,111.45,174.55,11:30:00,-31.250000000000227
78,2022-04-28,36384.5508,1,BANKNIFTY28APR2236400CE,55.2,84.9,14:51:00,BANKNIFTY28APR2236000PE,76.4,109.5,09:22:00,-1570.0
79,2022-04-29,36160.0,7,BANKNIFTY05MAY2237100CE,177.15,230.65,11:49:00,BANKNIFTY05MAY2236000PE,213.55,290.75,14:26:00,-3267.5
80,2022-05-02,36227.5508,4,BANKNIFTY05MAY2236400CE,153.8,218.2,09:19:00,BANKNIFTY05MAY2235400PE,205.4,79.6,15:15:00,1535.000000000001
81,2022-05-04,35390.1016,2,BANKNIFTY05MAY2236600CE,127.05,25.3,15:15:00,BANKNIFTY05MAY2236000PE,147.15,192.4,10:04:00,1412.5
82,2022-05-05,35298.1016,1,BANKNIFTY05MAY2235800CE,72.8,107.0,09:16:00,BANKNIFTY05MAY2235500PE,90.6,118.3,13:59:00,-1547.5000000000002
83,2022-05-06,34686.1484,7,BANKNIFTY12MAY2235400CE,192.25,147.35,15:15:00,BANKNIFTY12MAY2234100PE,261.3,347.25,10:14:00,-1026.2499999999993
84,2022-05-09,34380.25,4,BANKNIFTY12MAY2234800CE,157.0,206.4,12:14:00,BANKNIFTY12MAY2233700PE,202.95,278.5,09:20:00,-3123.7500000000005
85,2022-05-10,34536.0,3,BANKNIFTY12MAY2234800CE,157.65,214.0,12:22:00,BANKNIFTY12MAY2234000PE,189.1,111.6,15:15:00,528.7500000000002
86,2022-05-11,34710.75,2,BANKNIFTY12MAY2235000CE,102.8,63.25,15:15:00,BANKNIFTY12MAY2234400PE,132.65,181.65,09:42:00,-236.2500000000001
87,2022-05-12,33608.3984,1,BANKNIFTY12MAY2234500CE,61.35,0.25,15:15:00,BANKNIFTY12MAY2234100PE,85.45,130.9,09:17:00,391.25
88,2022-05-13,33166.1484,7,BANKNIFTY19MAY2234600CE,195.5,54.05,15:15:00,BANKNIFTY19MAY2233300PE,253.1,341.75,10:08:00,1319.9999999999995
89,2022-05-16,33523.1992,4,BANKNIFTY19MAY2233800CE,178.4,238.55,09:21:00,BANKNIFTY19MAY2232600PE,213.45,98.5,15:15:00,1369.9999999999993
90,2022-05-17,34290.6016,3,BANKNIFTY19MAY2234300CE,146.05,192.7,11:00:00,BANKNIFTY19MAY2233400PE,181.4,71.25,15:15:00,1587.5000000000005
91,2022-05-18,34119.8984,2,BANKNIFTY19MAY2234700CE,121.1,160.1,09:22:00,BANKNIFTY19MAY2234000PE,140.4,132.0,15:15:00,-764.9999999999999
92,2022-05-19,33263.5508,1,BANKNIFTY19MAY2233800CE,101.6,0.2,15:15:00,BANKNIFTY19MAY2233200PE,107.7,1.0,15:15:00,5202.5
93,2022-05-20,34215.5,7,BANKNIFTY26MAY2234400CE,185.2,254.0,09:45:00,BANKNIFTY26MAY2233200PE,233.65,125.75,15:15:00,977.4999999999998
94,2022-05-23,34200.0,4,BANKNIFTY26MAY2235000CE,195.05,260.2,11:21:00,BANKNIFTY26MAY2233900PE,222.0,292.35,09:21:00,-3387.5
95,2022-05-24,34173.6484,3,BANKNIFTY26MAY2234700CE,179.0,242.7,09:23:00,BANKNIFTY26MAY2233800PE,205.05,192.2,15:15:00,-1271.249999999999
96,2022-05-25,34338.1016,2,BANKNIFTY26MAY2234900CE,133.75,44.65,15:15:00,BANKNIFTY26MAY2234200PE,156.75,183.4,15:15:00,1561.25
97,2022-05-26,35065.4492,1,BANKNIFTY26MAY2234900CE,72.1,121.75,13:15:00,BANKNIFTY26MAY2234500PE,85.45,112.95,09:43:00,-1928.7500000000002
98,2022-05-27,35629.3516,7,BANKNIFTY02JUN2236100CE,201.95,205.15,15:15:00,BANKNIFTY02JUN2234900PE,275.4,209.6,15:15:00,1564.999999999999
99,2022-05-30,35869.8984,4,BANKNIFTY02JUN2236500CE,160.0,109.4,15:15:00,BANKNIFTY02JUN2235500PE,212.0,224.0,15:15:00,964.9999999999998
100,2022-05-31,35471.6992,3,BANKNIFTY02JUN2236100CE,142.6,189.1,10:40:00,BANKNIFTY02JUN2235200PE,165.9,213.25,15:15:00,-2346.25
101,2022-06-01,35722.8516,2,BANKNIFTY02JUN2235900CE,106.5,141.75,10:34:00,BANKNIFTY02JUN2235200PE,128.6,175.5,14:45:00,-2053.75
102,2022-06-02,35762.5508,1,BANKNIFTY02JUN2235700CE,58.0,90.4,09:34:00,BANKNIFTY02JUN2235300PE,77.8,0.4,15:15:00,1124.9999999999995
103,2022-06-03,35376.3008,7,BANKNIFTY09JUN2236600CE,168.85,63.5,15:15:00,BANKNIFTY09JUN2235400PE,216.8,285.9,10:39:00,906.2500000000009
104,2022-06-06,35446.6992,4,BANKNIFTY09JUN2235900CE,176.8,165.0,15:15:00,BANKNIFTY09JUN2234800PE,210.6,148.6,15:15:00,1845.0000000000002
105,2022-06-07,35098.6992,3,BANKNIFTY09JUN2235600CE,141.1,116.7,15:15:00,BANKNIFTY09JUN2234700PE,186.4,176.35,15:15:00,861.25
106,2022-06-08,35030.0,2,BANKNIFTY09JUN2235600CE,119.5,155.95,10:44:00,BANKNIFTY09JUN2234800PE,162.2,224.9,10:04:00,-2478.75
107,2022-06-09,35180.0,1,BANKNIFTY09JUN2235100CE,45.35,5.35,15:15:00,BANKNIFTY09JUN2234700PE,81.35,106.55,09:24:00,369.9999999999999
108,2022-06-10,34581.0,7,BANKNIFTY16JUN2235300CE,164.05,109.5,15:15:00,BANKNIFTY16JUN2234200PE,201.4,273.35,12:42:00,-435.0000000000002
109,2022-06-13,33473.3984,4,BANKNIFTY16JUN2234200CE,163.55,101.0,15:15:00,BANKNIFTY16JUN2233100PE,204.0,275.2,10:05:00,-216.24999999999955
110,2022-06-14,33386.0,3,BANKNIFTY16JUN2233700CE,150.85,198.0,10:27:00,BANKNIFTY16JUN2232800PE,172.5,114.0,15:15:00,283.7499999999998
111,2022-06-15,33410.0,2,BANKNIFTY16JUN2233800CE,122.75,93.5,15:15:00,BANKNIFTY16JUN2233100PE,145.4,195.3,09:44:00,-516.2500000000002
112,2022-06-16,32646.0,1,BANKNIFTY16JUN2233900CE,56.7,0.15,15:15:00,BANKNIFTY16JUN2233500PE,62.35,83.75,09:41:00,878.75
113,2022-06-17,32656.0,7,BANKNIFTY23JUN2233000CE,209.8,307.95,09:41:00,BANKNIFTY23JUN2231700PE,281.15,156.9,15:15:00,652.4999999999995
114,2022-06-20,32757.9004,4,BANKNIFTY23JUN2233300CE,186.35,122.15,15:15:00,BANKNIFTY23JUN2232300PE,222.35,314.4,09:41:00,-696.2499999999998
115,2022-06-21,33243.1992,3,BANKNIFTY23JUN2233400CE,116.2,151.15,09:53:00,BANKNIFTY23JUN2232600PE,167.25,88.05,15:15:00,1106.25
116,2022-06-22,32863.5,2,BANKNIFTY23JUN2233300CE,93.6,36.15,15:15:00,BANKNIFTY23JUN2232700PE,133.05,187.35,09:31:00,78.75000000000045
117,2022-06-23,33181.1016,1,BANKNIFTY23JUN2233000CE,69.4,92.75,09:19:00,BANKNIFTY23JUN2232700PE,83.4,116.65,13:08:00,-1415.0
118,2022-06-24,33661.5508,7,BANKNIFTY30JUN2234100CE,199.55,200.8,15:15:00,BANKNIFTY30JUN2233000PE,204.0,166.0,15:15:00,918.75
119,2022-06-27,33869.8516,4,BANKNIFTY30JUN2234600CE,163.2,82.15,15:15:00,BANKNIFTY30JUN2233600PE,196.25,256.45,11:39:00,521.2499999999998
120,2022-06-28,33657.6484,3,BANKNIFTY30JUN2234100CE,128.4,95.4,15:15:00,BANKNIFTY30JUN2233300PE,164.05,122.85,15:15:00,1855.0000000000005
121,2022-06-29,33288.5,2,BANKNIFTY30JUN2233600CE,110.3,85.6,15:15:00,BANKNIFTY30JUN2233000PE,125.55,100.35,15:15:00,1247.5000000000002
122,2022-06-30,33420.4492,1,BANKNIFTY30JUN2233600CE,77.35,106.15,09:21:00,BANKNIFTY30JUN2233100PE,73.0,0.25,15:15:00,1098.7499999999998
123,2022-07-01,33595.5,7,BANKNIFTY07JUL2233800CE,177.7,241.6,13:09:00,BANKNIFTY07JUL2232600PE,245.95,108.5,15:15:00,1838.7499999999993
124,2022-07-04,34027.6016,4,BANKNIFTY07JUL2234200CE,158.1,183.85,15:15:00,BANKNIFTY07JUL2233300PE,188.9,102.8,15:15:00,1508.75
125,2022-07-05,33864.1992,3,BANKNIFTY07JUL2234500CE,104.3,146.15,09:51:00,BANKNIFTY07JUL2233800PE,153.4,208.05,14:55:00,-2412.5000000000005
126,2022-07-06,34386.8984,2,BANKNIFTY07JUL2234300CE,85.9,116.25,09:22:00,BANKNIFTY07JUL2233700PE,118.5,43.2,15:15:00,1123.75
127,2022-07-07,34956.0,1,BANKNIFTY07JUL2234900CE,64.7,94.45,13:23:00,BANKNIFTY07JUL2234500PE,86.2,0.25,15:15:00,1405.0
128,2022-07-08,35178.3984,7,BANKNIFTY14JUL2235700CE,158.0,123.6,15:15:00,BANKNIFTY14JUL2234700PE,202.15,192.0,15:15:00,1113.7500000000002
129,2022-07-11,35512.3984,4,BANKNIFTY14JUL2235500CE,141.2,192.35,09:19:00,BANKNIFTY14JUL2234700PE,194.2,82.55,15:15:00,1512.4999999999998
130,2022-07-12,35164.1484,3,BANKNIFTY14JUL2235700CE,102.8,133.65,09:22:00,BANKNIFTY14JUL2234900PE,143.95,161.3,15:15:00,-1205.000000000001
131,2022-07-13,34926.0,2,BANKNIFTY14JUL2235600CE,85.5,22.25,15:15:00,BANKNIFTY14JUL2235000PE,121.1,158.05,10:28:00,657.4999999999995
132,2022-07-14,34729.6484,1,BANKNIFTY14JUL2235200CE,58.15,0.2,15:15:00,BANKNIFTY14JUL2234700PE,73.95,124.5,09:16:00,185.0
133,2022-07-15,34782.1484,7,BANKNIFTY21JUL2235400CE,140.8,87.25,15:15:00,BANKNIFTY21JUL2234500PE,204.4,268.5,09:28:00,-263.74999999999955
134,2022-07-18,35399.0,4,BANKNIFTY21JUL2235400CE,115.1,152.05,12:18:00,BANKNIFTY21JUL2234600PE,160.65,66.6,15:15:00,1427.5
135,2022-07-19,35755.0,3,BANKNIFTY21JUL2235600CE,92.85,121.0,09:46:00,BANKNIFTY21JUL2234900PE,128.75,41.2,15:15:00,1485.0
136,2022-07-20,35984.0,2,BANKNIFTY21JUL2236300CE,76.5,103.3,09:42:00,BANKNIFTY21JUL2235800PE,114.1,148.85,09:23:00,-1538.75
137,2022-07-21,36165.25,1,BANKNIFTY21JUL2236100CE,60.7,84.4,09:30:00,BANKNIFTY21JUL2235800PE,87.4,0.2,15:15:00,1587.5
138,2022-07-22,36730.1484,7,BANKNIFTY28JUL2236900CE,143.55,186.7,09:28:00,BANKNIFTY28JUL2235900PE,172.55,92.8,15:15:00,915.0000000000009
139,2022-07-25,36710.0,4,BANKNIFTY28JUL2237300CE,146.75,74.2,15:15:00,BANKNIFTY28JUL2236400PE,163.15,215.7,09:53:00,500.00000000000045
140,2022-07-26,36356.3984,3,BANKNIFTY28JUL2237000CE,132.15,45.45,15:15:00,BANKNIFTY28JUL2236300PE,144.55,193.8,10:01:00,936.25
141,2022-07-27,36750.0508,2,BANKNIFTY28JUL2236600CE,116.45,154.65,10:04:00,BANKNIFTY28JUL2236000PE,103.85,39.0,15:15:00,666.2499999999997
142,2022-07-28,37371.3008,1,BANKNIFTY28JUL2237300CE,77.75,101.4,10:26:00,BANKNIFTY28JUL2237000PE,83.8,0.25,15:15:00,1497.5
143,2022-07-29,37590.0,7,BANKNIFTY04AUG2238200CE,158.75,100.4,15:15:00,BANKNIFTY04AUG2237300PE,201.05,262.8,10:09:00,-85.00000000000023
144,2022-08-01,37927.0508,4,BANKNIFTY04AUG2238100CE,130.55,171.7,12:34:00,BANKNIFTY04AUG2237300PE,186.05,268.0,09:20:00,-3077.499999999999
145,2022-08-02,38101.0,3,BANKNIFTY04AUG2238100CE,115.65,157.45,09:36:00,BANKNIFTY04AUG2237400PE,160.2,80.2,15:15:00,955.0
146,2022-08-03,38059.5508,2,BANKNIFTY04AUG2238300CE,89.9,134.25,09:16:00,BANKNIFTY04AUG2237600PE,131.6,177.4,10:29:00,-2253.75
147,2022-08-04,37733.6992,1,BANKNIFTY04AUG2238400CE,53.45,0.2,15:15:00,BANKNIFTY04AUG2238000PE,85.7,114.1,10:32:00,621.2500000000002
148,2022-08-05,37929.8008,7,BANKNIFTY11AUG2238400CE,168.75,221.2,09:58:00,BANKNIFTY11AUG2237300PE,238.4,156.55,15:15:00,735.0
149,2022-08-08,38293.1484,4,BANKNIFTY11AUG2238300CE,143.0,187.75,10:16:00,BANKNIFTY11AUG2237400PE,178.6,67.5,15:15:00,1658.75
150,2022-08-10,38352.0,2,BANKNIFTY11AUG2238700CE,89.05,52.75,15:15:00,BANKNIFTY11AUG2238000PE,127.7,166.9,09:17:00,-72.50000000000023
151,2022-08-11,38912.1484,1,BANKNIFTY11AUG2238900CE,49.05,69.85,09:43:00,BANKNIFTY11AUG2238500PE,71.85,0.35,15:15:00,1267.5
152,2022-08-12,39072.1992,7,BANKNIFTY18AUG2239400CE,129.35,127.3,15:15:00,BANKNIFTY18AUG2238500PE,191.5,114.7,15:15:00,1971.25
153,2022-08-16,39311.6484,3,BANKNIFTY18AUG2239600CE,109.75,144.9,09:39:00,BANKNIFTY18AUG2239000PE,130.1,170.55,13:14:00,-1890.0000000000005
154,2022-08-17,39492.75,2,BANKNIFTY18AUG2239600CE,92.2,97.75,15:15:00,BANKNIFTY18AUG2239100PE,111.15,148.2,09:32:00,-1064.9999999999995
